task_id,family,wording,label,anchor,L,k,suff,nec
exp12_search_edit_05,search_edit,paraphrase,0,FINAL_INSTRUCTION_END,3,0,0.007753312587738037,0.020142823457717896
exp12_search_edit_05,search_edit,canonical,1,USER_END,3,0,-0.0018775016069412231,-0.004867091774940491
exp12_search_edit_05,search_edit,canonical,1,FINAL_INSTRUCTION_END,3,0,-0.0018775016069412231,-0.004867091774940491
exp12_search_edit_05,search_edit,paraphrase,1,USER_END,3,0,-0.0010295100510120392,-0.010901104658842087
exp12_search_edit_05,search_edit,paraphrase,1,FINAL_INSTRUCTION_END,3,0,-0.0010295100510120392,-0.010901104658842087
exp12_search_edit_09,search_edit,canonical,0,USER_END,3,0,-0.001411139965057373,-4.0650367736816406e-05
exp12_search_edit_09,search_edit,canonical,0,FINAL_INSTRUCTION_END,3,0,-0.001411139965057373,-4.0650367736816406e-05
exp12_search_edit_09,search_edit,paraphrase,0,USER_END,3,0,0.001258552074432373,-0.009787797927856445
exp12_search_edit_09,search_edit,paraphrase,0,FINAL_INSTRUCTION_END,3,0,0.001258552074432373,-0.009787797927856445
exp12_search_edit_09,search_edit,canonical,1,USER_END,3,0,0.003463059663772583,-0.00024674832820892334
exp12_search_edit_09,search_edit,canonical,1,FINAL_INSTRUCTION_END,3,0,0.003463059663772583,-0.00024674832820892334
exp12_search_edit_09,search_edit,paraphrase,1,USER_END,3,0,0.013513116165995598,1.8756836652755737e-05
exp12_search_edit_09,search_edit,paraphrase,1,FINAL_INSTRUCTION_END,3,0,0.013513116165995598,1.8756836652755737e-05
exp12_search_edit_10,search_edit,canonical,0,USER_END,3,0,-0.03259146213531494,-5.3882598876953125e-05
exp12_search_edit_10,search_edit,canonical,0,FINAL_INSTRUCTION_END,3,0,-0.03259146213531494,-5.3882598876953125e-05
exp12_search_edit_10,search_edit,paraphrase,0,USER_END,3,0,-3.635883331298828e-06,-0.0014259815216064453
exp12_search_edit_10,search_edit,paraphrase,0,FINAL_INSTRUCTION_END,3,0,-3.635883331298828e-06,-0.0014259815216064453
exp12_search_edit_10,search_edit,canonical,1,USER_END,3,0,0.006804436445236206,-0.006540119647979736
exp12_search_edit_10,search_edit,canonical,1,FINAL_INSTRUCTION_END,3,0,0.006804436445236206,-0.006540119647979736
exp12_search_edit_10,search_edit,paraphrase,1,USER_END,3,0,1.6275793313980103e-05,0.0030113980174064636
exp12_search_edit_10,search_edit,paraphrase,1,FINAL_INSTRUCTION_END,3,0,1.6275793313980103e-05,0.0030113980174064636
exp12_search_edit_12,search_edit,canonical,0,USER_END,3,0,4.184246063232422e-05,-2.2351741790771484e-05
exp12_search_edit_12,search_edit,canonical,0,FINAL_INSTRUCTION_END,3,0,4.184246063232422e-05,-2.2351741790771484e-05
exp12_search_edit_12,search_edit,paraphrase,0,USER_END,3,0,-0.002855658531188965,-8.046627044677734e-07
exp12_search_edit_12,search_edit,paraphrase,0,FINAL_INSTRUCTION_END,3,0,-0.002855658531188965,-8.046627044677734e-07
exp12_search_edit_12,search_edit,canonical,1,USER_END,3,0,-0.0063188523054122925,0.007066354155540466
exp12_search_edit_12,search_edit,canonical,1,FINAL_INSTRUCTION_END,3,0,-0.0063188523054122925,0.007066354155540466
exp12_search_edit_12,search_edit,paraphrase,1,USER_END,3,0,0.018982242792844772,0.004064831882715225
exp12_search_edit_12,search_edit,paraphrase,1,FINAL_INSTRUCTION_END,3,0,0.018982242792844772,0.004064831882715225
exp12_search_edit_13,search_edit,canonical,0,USER_END,3,0,-0.009376943111419678,-0.0016062259674072266
exp12_search_edit_13,search_edit,canonical,0,FINAL_INSTRUCTION_END,3,0,-0.009376943111419678,-0.0016062259674072266
exp12_search_edit_13,search_edit,paraphrase,0,USER_END,3,0,0.004684895277023315,0.013872683048248291
exp12_search_edit_13,search_edit,paraphrase,0,FINAL_INSTRUCTION_END,3,0,0.004684895277023315,0.013872683048248291
exp12_search_edit_13,search_edit,canonical,1,USER_END,3,0,-0.0070667266845703125,-0.0006418973207473755
exp12_search_edit_13,search_edit,canonical,1,FINAL_INSTRUCTION_END,3,0,-0.0070667266845703125,-0.0006418973207473755
exp12_search_edit_13,search_edit,paraphrase,1,USER_END,3,0,2.4575740098953247e-05,-0.0029569119215011597
exp12_search_edit_13,search_edit,paraphrase,1,FINAL_INSTRUCTION_END,3,0,2.4575740098953247e-05,-0.0029569119215011597
exp12_search_edit_15,search_edit,canonical,0,USER_END,3,0,-0.006257176399230957,0.013655781745910645
exp12_search_edit_15,search_edit,canonical,0,FINAL_INSTRUCTION_END,3,0,-0.006257176399230957,0.013655781745910645
exp12_search_edit_15,search_edit,paraphrase,0,USER_END,3,0,-0.002923339605331421,0.004478901624679565
exp12_search_edit_15,search_edit,paraphrase,0,FINAL_INSTRUCTION_END,3,0,-0.002923339605331421,0.004478901624679565
exp12_search_edit_15,search_edit,canonical,1,USER_END,3,0,0.009733125567436218,0.02105669677257538
