task_id,family,wording,label,head,suff,nec
exp12_test_edit_00,test_edit,paraphrase,1,25,-0.0,0.0
exp12_test_edit_00,test_edit,paraphrase,1,26,-0.0,0.0
exp12_test_edit_00,test_edit,paraphrase,1,27,-0.0,0.0
exp12_test_edit_00,test_edit,paraphrase,1,28,-0.0,0.0
exp12_test_edit_00,test_edit,paraphrase,1,29,-0.0,0.0
exp12_test_edit_00,test_edit,paraphrase,1,30,-0.0,0.0
exp12_test_edit_00,test_edit,paraphrase,1,31,-0.0,0.0
exp12_test_edit_01,test_edit,canonical,0,0,0.0,0.0
exp12_test_edit_01,test_edit,canonical,0,1,0.0,0.0
exp12_test_edit_01,test_edit,canonical,0,2,0.0,0.0
exp12_test_edit_01,test_edit,canonical,0,3,0.0,0.0
exp12_test_edit_01,test_edit,canonical,0,4,0.0,0.0
exp12_test_edit_01,test_edit,canonical,0,5,0.0,0.0
exp12_test_edit_01,test_edit,canonical,0,6,0.0,0.0
exp12_test_edit_01,test_edit,canonical,0,7,0.0,0.0
exp12_test_edit_01,test_edit,canonical,0,8,0.0,0.0
exp12_test_edit_01,test_edit,canonical,0,9,0.0,0.0
exp12_test_edit_01,test_edit,canonical,0,10,0.0,0.0
exp12_test_edit_01,test_edit,canonical,0,11,0.0,0.0
exp12_test_edit_01,test_edit,canonical,0,12,0.0,0.0
exp12_test_edit_01,test_edit,canonical,0,13,0.0,0.0
exp12_test_edit_01,test_edit,canonical,0,14,0.0,0.0
exp12_test_edit_01,test_edit,canonical,0,15,0.0,0.0
exp12_test_edit_01,test_edit,canonical,0,16,0.235433891415596,0.2311103343963623
exp12_test_edit_01,test_edit,canonical,0,17,-0.0008397623896598816,-0.001868128776550293
exp12_test_edit_01,test_edit,canonical,0,18,0.007701478898525238,0.014466047286987305
exp12_test_edit_01,test_edit,canonical,0,19,-0.015665240585803986,-0.023600980639457703
exp12_test_edit_01,test_edit,canonical,0,20,0.0,0.0
exp12_test_edit_01,test_edit,canonical,0,21,0.0,0.0
exp12_test_edit_01,test_edit,canonical,0,22,0.0,0.0
exp12_test_edit_01,test_edit,canonical,0,23,0.0,0.0
exp12_test_edit_01,test_edit,canonical,0,24,0.0,0.0
exp12_test_edit_01,test_edit,canonical,0,25,0.0,0.0
exp12_test_edit_01,test_edit,canonical,0,26,0.0,0.0
exp12_test_edit_01,test_edit,canonical,0,27,0.0,0.0
exp12_test_edit_01,test_edit,canonical,0,28,0.0,0.0
exp12_test_edit_01,test_edit,canonical,0,29,0.0,0.0
exp12_test_edit_01,test_edit,canonical,0,30,0.0,0.0
exp12_test_edit_01,test_edit,canonical,0,31,0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,0,0,0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,0,1,0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,0,2,0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,0,3,0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,0,4,0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,0,5,0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,0,6,0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,0,7,0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,0,8,0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,0,9,0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,0,10,0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,0,11,0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,0,12,0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,0,13,0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,0,14,0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,0,15,0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,0,16,0.2590499520301819,0.25530581176280975
exp12_test_edit_01,test_edit,paraphrase,0,17,-0.0015631988644599915,-0.003130793571472168
exp12_test_edit_01,test_edit,paraphrase,0,18,0.011837475001811981,0.01318386197090149
exp12_test_edit_01,test_edit,paraphrase,0,19,-0.02031989023089409,-0.025532498955726624
exp12_test_edit_01,test_edit,paraphrase,0,20,0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,0,21,0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,0,22,0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,0,23,0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,0,24,0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,0,25,0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,0,26,0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,0,27,0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,0,28,0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,0,29,0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,0,30,0.0,0.0
exp12_test_edit_01,test_edit,paraphrase,0,31,0.0,0.0
exp12_test_edit_01,test_edit,canonical,1,0,-0.0,0.0
exp12_test_edit_01,test_edit,canonical,1,1,-0.0,0.0
exp12_test_edit_01,test_edit,canonical,1,2,-0.0,0.0
exp12_test_edit_01,test_edit,canonical,1,3,-0.0,0.0
exp12_test_edit_01,test_edit,canonical,1,4,-0.0,0.0
exp12_test_edit_01,test_edit,canonical,1,5,-0.0,0.0
exp12_test_edit_01,test_edit,canonical,1,6,-0.0,0.0
exp12_test_edit_01,test_edit,canonical,1,7,-0.0,0.0
exp12_test_edit_01,test_edit,canonical,1,8,-0.0,0.0
exp12_test_edit_01,test_edit,canonical,1,9,-0.0,0.0
exp12_test_edit_01,test_edit,canonical,1,10,-0.0,0.0
exp12_test_edit_01,test_edit,canonical,1,11,-0.0,0.0
exp12_test_edit_01,test_edit,canonical,1,12,-0.0,0.0
exp12_test_edit_01,test_edit,canonical,1,13,-0.0,0.0
exp12_test_edit_01,test_edit,canonical,1,14,-0.0,0.0
