fold,group,rank,hidden_state_index,head_index,impact_score,recovery_ratio,aligned_mean,donor_energy_mean,o_proj_head_block_norm
0,top32,11,25,24,17.729389190673828,0.8437848091125488,1.2077429294586182,1.431339979171753,17.56267547607422
0,top32,12,27,15,16.78791618347168,0.6527253985404968,1.752068042755127,2.684234619140625,15.698424339294434
0,top32,13,23,24,16.710411071777344,0.719867467880249,2.6025097370147705,3.615262269973755,12.208566665649414
0,top32,14,25,21,15.709356307983398,0.6717743873596191,1.9305280447006226,2.873774290084839,13.794584274291992
0,top32,15,23,27,15.407838821411133,0.791505753993988,2.089108467102051,2.6394102573394775,11.982134819030762
0,top32,16,27,18,15.153721809387207,0.600078284740448,1.716443657875061,2.8603663444519043,14.931401252746582
0,top32,17,24,15,15.026453971862793,0.8410862684249878,1.351982593536377,1.6074243783950806,14.091287612915039
0,top32,18,23,22,15.0081205368042,0.9600893259048462,1.2504827976226807,1.3024650812149048,13.69719409942627
0,top32,19,21,2,14.422142028808594,0.9918454885482788,1.0100696086883545,1.018373966217041,14.408943176269531
0,top32,20,23,7,14.331353187561035,0.7864887714385986,1.6897077560424805,2.1484193801879883,12.431832313537598
0,top32,21,28,7,14.265398979187012,0.6352569460868835,2.4896557331085205,3.9191317558288574,11.343303680419922
0,top32,22,27,26,13.950114250183105,0.6211414337158203,1.0169123411178589,1.6371670961380005,17.552570343017578
0,top32,23,26,4,13.69533920288086,0.8914974927902222,0.9407249093055725,1.0552188158035278,14.954826354980469
0,top32,24,25,0,13.685911178588867,0.8759193420410156,1.1823687553405762,1.3498603105545044,13.448232650756836
0,top32,25,22,23,13.446534156799316,0.8610372543334961,0.7790823578834534,0.9048184156417847,16.417526245117188
0,top32,26,26,20,13.308260917663574,0.8493859767913818,0.773649275302887,0.9108335971832275,16.417110443115234
0,top32,27,27,25,13.186198234558105,0.7660086154937744,0.8405908942222595,1.0973647832870483,16.432758331298828
0,top32,28,23,23,12.971208572387695,0.8859502673149109,0.7609951496124268,0.8589591979980469,15.797371864318848
0,top32,29,26,12,12.834778785705566,0.7372695803642273,0.9906060099601746,1.3436143398284912,15.018438339233398
0,top32,30,27,19,12.610025405883789,0.7872579097747803,0.9533298015594482,1.2109497785568237,14.555791854858398
0,top32,31,28,20,12.378652572631836,0.7084932327270508,0.975060224533081,1.3762449026107788,14.893260955810547
0,top32,32,27,6,12.023164749145508,0.5499098300933838,1.0137375593185425,1.8434613943099976,16.103130340576172
0,top64,1,24,10,41.43503952026367,0.7745003700256348,11.77683162689209,15.20571517944336,13.719639778137207
0,top64,2,24,17,32.16674041748047,0.6667333841323853,7.3597869873046875,11.038576126098633,14.5210599899292
0,top64,3,28,13,26.503040313720703,0.7470223903656006,7.492650508880615,10.030021667480469,11.202401161193848
0,top64,4,28,10,26.158994674682617,0.7442326545715332,7.40001106262207,9.94314193725586,11.146807670593262
0,top64,5,28,12,24.34187126159668,0.7340096235275269,6.861155033111572,9.34749984741211,10.846871376037598
0,top64,6,27,22,20.415870666503906,0.8843980431556702,2.034184455871582,2.3000779151916504,15.221199989318848
0,top64,7,24,20,18.622589111328125,0.9332369565963745,1.3714700937271118,1.4695839881896973,16.460800170898438
0,top64,8,25,18,18.20395278930664,0.8786044120788574,1.584409475326538,1.8033251762390137,15.428912162780762
0,top64,9,28,11,18.167232513427734,0.6432129740715027,4.307134628295898,6.6962809562683105,10.914834022521973
0,top64,10,26,24,17.915634155273438,0.8019456267356873,1.8498026132583618,2.306643486022949,14.70946979522705
0,top64,11,25,24,17.729389190673828,0.8437848091125488,1.2077429294586182,1.431339979171753,17.56267547607422
0,top64,12,27,15,16.78791618347168,0.6527253985404968,1.752068042755127,2.684234619140625,15.698424339294434
0,top64,13,23,24,16.710411071777344,0.719867467880249,2.6025097370147705,3.615262269973755,12.208566665649414
0,top64,14,25,21,15.709356307983398,0.6717743873596191,1.9305280447006226,2.873774290084839,13.794584274291992
0,top64,15,23,27,15.407838821411133,0.791505753993988,2.089108467102051,2.6394102573394775,11.982134819030762
0,top64,16,27,18,15.153721809387207,0.600078284740448,1.716443657875061,2.8603663444519043,14.931401252746582
