hidden_state_index,decoder_layer_index,task_idx,task_id,condition,wording,recipient_label,donor_label,baseline_margin,patched_margin,raw_margin_shift,signed_transfer_effect
14,13,32,task_032,canonical_test,canonical,0,1,-0.03673732280731201,-0.038500070571899414,-0.0017627477645874023,-0.0017627477645874023
14,13,32,task_032,canonical_impl,canonical,1,0,0.15714174509048462,0.16046977043151855,0.0033280253410339355,-0.0033280253410339355
14,13,32,task_032,paraphrase_test,paraphrase,0,1,0.09983766078948975,0.10619187355041504,0.006354212760925293,0.006354212760925293
14,13,32,task_032,paraphrase_impl,paraphrase,1,0,0.21177417039871216,0.21411210298538208,0.002337932586669922,-0.002337932586669922
14,13,33,task_033,canonical_test,canonical,0,1,0.2810934782028198,0.2802690267562866,-0.0008244514465332031,-0.0008244514465332031
14,13,33,task_033,canonical_impl,canonical,1,0,0.5219536423683167,0.523584246635437,0.0016306042671203613,-0.0016306042671203613
14,13,33,task_033,paraphrase_test,paraphrase,0,1,0.4183337688446045,0.4195890426635742,0.0012552738189697266,0.0012552738189697266
14,13,33,task_033,paraphrase_impl,paraphrase,1,0,0.6677678227424622,0.6685446500778198,0.000776827335357666,-0.000776827335357666
14,13,34,task_034,canonical_test,canonical,0,1,-0.11113286018371582,-0.11841386556625366,-0.007281005382537842,-0.007281005382537842
14,13,34,task_034,canonical_impl,canonical,1,0,0.07749146223068237,0.08370697498321533,0.006215512752532959,-0.006215512752532959
14,13,34,task_034,paraphrase_test,paraphrase,0,1,-0.058937907218933105,-0.06875652074813843,-0.009818613529205322,-0.009818613529205322
14,13,34,task_034,paraphrase_impl,paraphrase,1,0,0.08039289712905884,0.07254290580749512,-0.00784999132156372,0.00784999132156372
14,13,35,task_035,canonical_test,canonical,0,1,0.2020108699798584,0.20358943939208984,0.0015785694122314453,0.0015785694122314453
14,13,35,task_035,canonical_impl,canonical,1,0,0.3142969608306885,0.32668793201446533,0.012390971183776855,-0.012390971183776855
14,13,35,task_035,paraphrase_test,paraphrase,0,1,0.30868422985076904,0.3092128038406372,0.0005285739898681641,0.0005285739898681641
14,13,35,task_035,paraphrase_impl,paraphrase,1,0,0.41914069652557373,0.4199875593185425,0.00084686279296875,-0.00084686279296875
14,13,36,task_036,canonical_test,canonical,0,1,-0.02991783618927002,-0.02913689613342285,0.000780940055847168,0.000780940055847168
14,13,36,task_036,canonical_impl,canonical,1,0,0.3102421164512634,0.3096446394920349,-0.0005974769592285156,0.0005974769592285156
14,13,36,task_036,paraphrase_test,paraphrase,0,1,0.15416157245635986,0.1541227102279663,-3.886222839355469e-05,-3.886222839355469e-05
14,13,36,task_036,paraphrase_impl,paraphrase,1,0,0.3311561346054077,0.33134013414382935,0.00018399953842163086,-0.00018399953842163086
14,13,37,task_037,canonical_test,canonical,0,1,0.0918416976928711,0.0946616530418396,0.002819955348968506,0.002819955348968506
14,13,37,task_037,canonical_impl,canonical,1,0,0.28551042079925537,0.27674412727355957,-0.0087662935256958,0.0087662935256958
14,13,37,task_037,paraphrase_test,paraphrase,0,1,0.10883009433746338,0.10893195867538452,0.00010186433792114258,0.00010186433792114258
14,13,37,task_037,paraphrase_impl,paraphrase,1,0,0.2717990279197693,0.2732410430908203,0.0014420151710510254,-0.0014420151710510254
14,13,38,task_038,canonical_test,canonical,0,1,-0.040718674659729004,-0.04056227207183838,0.000156402587890625,0.000156402587890625
14,13,38,task_038,canonical_impl,canonical,1,0,0.1360018253326416,0.13891839981079102,0.002916574478149414,-0.002916574478149414
14,13,38,task_038,paraphrase_test,paraphrase,0,1,0.09416055679321289,0.10455429553985596,0.010393738746643066,0.010393738746643066
14,13,38,task_038,paraphrase_impl,paraphrase,1,0,0.2394973635673523,0.2387518286705017,-0.0007455348968505859,0.0007455348968505859
14,13,39,task_039,canonical_test,canonical,0,1,0.25811028480529785,0.254624605178833,-0.0034856796264648438,-0.0034856796264648438
14,13,39,task_039,canonical_impl,canonical,1,0,0.5078826546669006,0.5083796381950378,0.000496983528137207,-0.000496983528137207
14,13,39,task_039,paraphrase_test,paraphrase,0,1,0.3920745253562927,0.3917080760002136,-0.00036644935607910156,-0.00036644935607910156
14,13,39,task_039,paraphrase_impl,paraphrase,1,0,0.6819578409194946,0.689641535282135,0.007683694362640381,-0.007683694362640381
14,13,40,task_040,canonical_test,canonical,0,1,-0.11613363027572632,-0.12362641096115112,-0.007492780685424805,-0.007492780685424805
14,13,40,task_040,canonical_impl,canonical,1,0,0.06272470951080322,0.06432700157165527,0.0016022920608520508,-0.0016022920608520508
14,13,40,task_040,paraphrase_test,paraphrase,0,1,-0.11852288246154785,-0.11861878633499146,-9.590387344360352e-05,-9.590387344360352e-05
14,13,40,task_040,paraphrase_impl,paraphrase,1,0,0.014781415462493896,0.016322076320648193,0.0015406608581542969,-0.0015406608581542969
14,13,41,task_041,canonical_test,canonical,0,1,0.2379169464111328,0.23495972156524658,-0.0029572248458862305,-0.0029572248458862305
14,13,41,task_041,canonical_impl,canonical,1,0,0.35626351833343506,0.3551419973373413,-0.00112152099609375,0.00112152099609375
14,13,41,task_041,paraphrase_test,paraphrase,0,1,0.3310346007347107,0.3299599289894104,-0.001074671745300293,-0.001074671745300293
14,13,41,task_041,paraphrase_impl,paraphrase,1,0,0.4600977301597595,0.46027153730392456,0.00017380714416503906,-0.00017380714416503906
14,13,42,task_042,canonical_test,canonical,0,1,-0.0840451717376709,-0.0884547233581543,-0.0044095516204833984,-0.0044095516204833984
14,13,42,task_042,canonical_impl,canonical,1,0,0.2337782382965088,0.23297923803329468,-0.0007990002632141113,0.0007990002632141113
14,13,42,task_042,paraphrase_test,paraphrase,0,1,0.07073867321014404,0.0723724365234375,0.001633763313293457,0.001633763313293457
14,13,42,task_042,paraphrase_impl,paraphrase,1,0,0.2932313084602356,0.29209887981414795,-0.0011324286460876465,0.0011324286460876465
14,13,43,task_043,canonical_test,canonical,0,1,0.08103853464126587,0.08116352558135986,0.00012499094009399414,0.00012499094009399414
14,13,43,task_043,canonical_impl,canonical,1,0,0.24581772089004517,0.24579447507858276,-2.3245811462402344e-05,2.3245811462402344e-05
14,13,43,task_043,paraphrase_test,paraphrase,0,1,0.11570978164672852,0.1156306266784668,-7.915496826171875e-05,-7.915496826171875e-05
14,13,43,task_043,paraphrase_impl,paraphrase,1,0,0.2547694444656372,0.25634974241256714,0.0015802979469299316,-0.0015802979469299316
14,13,44,task_044,canonical_test,canonical,0,1,-0.0016874074935913086,0.00037229061126708984,0.0020596981048583984,0.0020596981048583984
14,13,44,task_044,canonical_impl,canonical,1,0,0.15286993980407715,0.15122771263122559,-0.0016422271728515625,0.0016422271728515625
14,13,44,task_044,paraphrase_test,paraphrase,0,1,0.08633661270141602,0.08616256713867188,-0.00017404556274414062,-0.00017404556274414062
