task_idx,task_id,recipient_condition,recipient_wording,recipient_label,donor_type,donor_condition,donor_label,config,config_role,common_suffix_tokens,baseline_margin,patched_margin,raw_margin_shift,signed_transfer_effect
2,task_002,paraphrase_test,paraphrase,0,opposite_same_wording,paraphrase_impl,1,late_H21_H28,negative_control,113,0.02762281894683838,0.038536667823791504,0.010913848876953125,0.010913848876953125
2,task_002,paraphrase_impl,paraphrase,1,opposite_same_wording,paraphrase_test,0,late_H21_H28,negative_control,113,0.18815743923187256,0.1639670729637146,-0.02419036626815796,0.02419036626815796
2,task_002,canonical_test,canonical,0,opposite_same_wording,canonical_impl,1,full_H15_H28,positive_control,120,-0.06389319896697998,0.0247114896774292,0.08860468864440918,0.08860468864440918
2,task_002,canonical_impl,canonical,1,opposite_same_wording,canonical_test,0,full_H15_H28,positive_control,120,0.14784175157546997,0.04822409152984619,-0.09961766004562378,0.09961766004562378
2,task_002,paraphrase_test,paraphrase,0,opposite_same_wording,paraphrase_impl,1,full_H15_H28,positive_control,113,0.02762281894683838,0.138261079788208,0.11063826084136963,0.11063826084136963
2,task_002,paraphrase_impl,paraphrase,1,opposite_same_wording,paraphrase_test,0,full_H15_H28,positive_control,113,0.18815743923187256,0.06979668140411377,-0.11836075782775879,0.11836075782775879
2,task_002,canonical_test,canonical,0,self,canonical_test,0,early_H15_H20,control,284,-0.06389319896697998,-0.06389319896697998,0.0,0.0
2,task_002,canonical_impl,canonical,1,self,canonical_impl,1,early_H15_H20,control,284,0.14784175157546997,0.14784175157546997,0.0,0.0
2,task_002,paraphrase_test,paraphrase,0,self,paraphrase_test,0,early_H15_H20,control,268,0.02762281894683838,0.02762281894683838,0.0,0.0
2,task_002,paraphrase_impl,paraphrase,1,self,paraphrase_impl,1,early_H15_H20,control,268,0.18815743923187256,0.18815743923187256,0.0,0.0
2,task_002,canonical_test,canonical,0,same_state_cross_wording,paraphrase_test,0,early_H15_H20,control,86,-0.06389319896697998,-0.07290363311767578,-0.0090104341506958,0.0090104341506958
2,task_002,canonical_impl,canonical,1,same_state_cross_wording,paraphrase_impl,1,early_H15_H20,control,86,0.14784175157546997,0.16010046005249023,0.012258708477020264,0.012258708477020264
2,task_002,paraphrase_test,paraphrase,0,same_state_cross_wording,canonical_test,0,early_H15_H20,control,86,0.02762281894683838,0.020965218544006348,-0.006657600402832031,0.006657600402832031
2,task_002,paraphrase_impl,paraphrase,1,same_state_cross_wording,canonical_impl,1,early_H15_H20,control,86,0.18815743923187256,0.1635279655456543,-0.02462947368621826,-0.02462947368621826
2,task_002,canonical_test,canonical,0,opposite_cross_wording,paraphrase_impl,1,early_H15_H20,control,86,-0.06389319896697998,0.039901793003082275,0.10379499197006226,0.10379499197006226
2,task_002,canonical_impl,canonical,1,opposite_cross_wording,paraphrase_test,0,early_H15_H20,control,86,0.14784175157546997,0.05350404977798462,-0.09433770179748535,0.09433770179748535
2,task_002,paraphrase_test,paraphrase,0,opposite_cross_wording,canonical_impl,1,early_H15_H20,control,86,0.02762281894683838,0.11446726322174072,0.08684444427490234,0.08684444427490234
2,task_002,paraphrase_impl,paraphrase,1,opposite_cross_wording,canonical_test,0,early_H15_H20,control,86,0.18815743923187256,0.053640007972717285,-0.13451743125915527,0.13451743125915527
3,task_003,canonical_test,canonical,0,opposite_same_wording,canonical_impl,1,early_H15_H20,primary,103,0.245061993598938,0.2906779646873474,0.045615971088409424,0.045615971088409424
3,task_003,canonical_impl,canonical,1,opposite_same_wording,canonical_test,0,early_H15_H20,primary,103,0.5010965466499329,0.3717629313468933,-0.12933361530303955,0.12933361530303955
3,task_003,paraphrase_test,paraphrase,0,opposite_same_wording,paraphrase_impl,1,early_H15_H20,primary,96,0.360237181186676,0.4736329913139343,0.1133958101272583,0.1133958101272583
3,task_003,paraphrase_impl,paraphrase,1,opposite_same_wording,paraphrase_test,0,early_H15_H20,primary,96,0.5868828296661377,0.43559932708740234,-0.15128350257873535,0.15128350257873535
3,task_003,canonical_test,canonical,0,opposite_same_wording,canonical_impl,1,late_H21_H28,negative_control,103,0.245061993598938,0.2533254623413086,0.008263468742370605,0.008263468742370605
3,task_003,canonical_impl,canonical,1,opposite_same_wording,canonical_test,0,late_H21_H28,negative_control,103,0.5010965466499329,0.47992491722106934,-0.021171629428863525,0.021171629428863525
3,task_003,paraphrase_test,paraphrase,0,opposite_same_wording,paraphrase_impl,1,late_H21_H28,negative_control,96,0.360237181186676,0.37019652128219604,0.00995934009552002,0.00995934009552002
3,task_003,paraphrase_impl,paraphrase,1,opposite_same_wording,paraphrase_test,0,late_H21_H28,negative_control,96,0.5868828296661377,0.5658586621284485,-0.02102416753768921,0.02102416753768921
3,task_003,canonical_test,canonical,0,opposite_same_wording,canonical_impl,1,full_H15_H28,positive_control,103,0.245061993598938,0.29445433616638184,0.04939234256744385,0.04939234256744385
3,task_003,canonical_impl,canonical,1,opposite_same_wording,canonical_test,0,full_H15_H28,positive_control,103,0.5010965466499329,0.3701701760292053,-0.13092637062072754,0.13092637062072754
3,task_003,paraphrase_test,paraphrase,0,opposite_same_wording,paraphrase_impl,1,full_H15_H28,positive_control,96,0.360237181186676,0.4804196357727051,0.12018245458602905,0.12018245458602905
3,task_003,paraphrase_impl,paraphrase,1,opposite_same_wording,paraphrase_test,0,full_H15_H28,positive_control,96,0.5868828296661377,0.41881638765335083,-0.16806644201278687,0.16806644201278687
3,task_003,canonical_test,canonical,0,self,canonical_test,0,early_H15_H20,control,270,0.245061993598938,0.245061993598938,0.0,0.0
3,task_003,canonical_impl,canonical,1,self,canonical_impl,1,early_H15_H20,control,270,0.5010965466499329,0.5010965466499329,0.0,0.0
3,task_003,paraphrase_test,paraphrase,0,self,paraphrase_test,0,early_H15_H20,control,254,0.360237181186676,0.36215686798095703,0.0019196867942810059,0.0019196867942810059
3,task_003,paraphrase_impl,paraphrase,1,self,paraphrase_impl,1,early_H15_H20,control,254,0.5868828296661377,0.6066611409187317,0.019778311252593994,0.019778311252593994
3,task_003,canonical_test,canonical,0,same_state_cross_wording,paraphrase_test,0,early_H15_H20,control,69,0.245061993598938,0.2150554060935974,-0.030006587505340576,0.030006587505340576
3,task_003,canonical_impl,canonical,1,same_state_cross_wording,paraphrase_impl,1,early_H15_H20,control,69,0.5010965466499329,0.5440636277198792,0.04296708106994629,0.04296708106994629
3,task_003,paraphrase_test,paraphrase,0,same_state_cross_wording,canonical_test,0,early_H15_H20,control,69,0.360237181186676,0.32515203952789307,-0.03508514165878296,0.03508514165878296
3,task_003,paraphrase_impl,paraphrase,1,same_state_cross_wording,canonical_impl,1,early_H15_H20,control,69,0.5868828296661377,0.46698927879333496,-0.11989355087280273,-0.11989355087280273
3,task_003,canonical_test,canonical,0,opposite_cross_wording,paraphrase_impl,1,early_H15_H20,control,69,0.245061993598938,0.2922614812850952,0.04719948768615723,0.04719948768615723
3,task_003,canonical_impl,canonical,1,opposite_cross_wording,paraphrase_test,0,early_H15_H20,control,69,0.5010965466499329,0.35899966955184937,-0.1420968770980835,0.1420968770980835
3,task_003,paraphrase_test,paraphrase,0,opposite_cross_wording,canonical_impl,1,early_H15_H20,control,69,0.360237181186676,0.38986635208129883,0.029629170894622803,0.029629170894622803
3,task_003,paraphrase_impl,paraphrase,1,opposite_cross_wording,canonical_test,0,early_H15_H20,control,69,0.5868828296661377,0.3711346983909607,-0.215748131275177,0.215748131275177
4,task_004,canonical_test,canonical,0,opposite_same_wording,canonical_impl,1,early_H15_H20,primary,121,-0.10215723514556885,-0.049219369888305664,0.052937865257263184,0.052937865257263184
4,task_004,canonical_impl,canonical,1,opposite_same_wording,canonical_test,0,early_H15_H20,primary,121,0.04504704475402832,0.011543333530426025,-0.033503711223602295,0.033503711223602295
4,task_004,paraphrase_test,paraphrase,0,opposite_same_wording,paraphrase_impl,1,early_H15_H20,primary,114,-0.09664011001586914,-0.040614545345306396,0.056025564670562744,0.056025564670562744
4,task_004,paraphrase_impl,paraphrase,1,opposite_same_wording,paraphrase_test,0,early_H15_H20,primary,114,0.009015023708343506,-0.038986265659332275,-0.04800128936767578,0.04800128936767578
