task_id,family,wording,label,head,suff
exp12_test_edit_01,test_edit,paraphrase,1,10,-0.0
exp12_test_edit_01,test_edit,paraphrase,1,11,-0.0
exp12_test_edit_01,test_edit,paraphrase,1,12,-0.0
exp12_test_edit_01,test_edit,paraphrase,1,13,-0.0
exp12_test_edit_01,test_edit,paraphrase,1,14,-0.0
exp12_test_edit_01,test_edit,paraphrase,1,15,-0.0
exp12_test_edit_01,test_edit,paraphrase,1,16,-0.0
exp12_test_edit_01,test_edit,paraphrase,1,17,-0.0
exp12_test_edit_01,test_edit,paraphrase,1,18,-0.0
exp12_test_edit_01,test_edit,paraphrase,1,19,-0.0
exp12_test_edit_01,test_edit,paraphrase,1,20,-0.0
exp12_test_edit_01,test_edit,paraphrase,1,21,-0.0
exp12_test_edit_01,test_edit,paraphrase,1,22,-0.0
exp12_test_edit_01,test_edit,paraphrase,1,23,-0.0
exp12_test_edit_01,test_edit,paraphrase,1,24,-0.0
exp12_test_edit_01,test_edit,paraphrase,1,25,-0.0
exp12_test_edit_01,test_edit,paraphrase,1,26,-0.0
exp12_test_edit_01,test_edit,paraphrase,1,27,-0.0
exp12_test_edit_03,test_edit,canonical,0,0,-0.0039654390420764685
exp12_test_edit_03,test_edit,canonical,0,1,0.003859127638861537
exp12_test_edit_03,test_edit,canonical,0,2,-0.007852473063394427
exp12_test_edit_03,test_edit,canonical,0,3,0.00786114134825766
exp12_test_edit_03,test_edit,canonical,0,4,-0.00395379844121635
exp12_test_edit_03,test_edit,canonical,0,5,-4.068086855113506e-05
exp12_test_edit_03,test_edit,canonical,0,6,-0.0037834681570529938
exp12_test_edit_03,test_edit,canonical,0,7,0.0
exp12_test_edit_03,test_edit,canonical,0,8,0.0
exp12_test_edit_03,test_edit,canonical,0,9,0.0
exp12_test_edit_03,test_edit,canonical,0,10,0.0
exp12_test_edit_03,test_edit,canonical,0,11,0.0
exp12_test_edit_03,test_edit,canonical,0,12,0.0
exp12_test_edit_03,test_edit,canonical,0,13,0.0
exp12_test_edit_03,test_edit,canonical,0,14,0.0
exp12_test_edit_03,test_edit,canonical,0,15,0.0
exp12_test_edit_03,test_edit,canonical,0,16,0.0
exp12_test_edit_03,test_edit,canonical,0,17,0.0
exp12_test_edit_03,test_edit,canonical,0,18,0.0
exp12_test_edit_03,test_edit,canonical,0,19,0.0
exp12_test_edit_03,test_edit,canonical,0,20,0.0
exp12_test_edit_03,test_edit,canonical,0,21,0.0
exp12_test_edit_03,test_edit,canonical,0,22,0.0
exp12_test_edit_03,test_edit,canonical,0,23,0.0
exp12_test_edit_03,test_edit,canonical,0,24,0.0
exp12_test_edit_03,test_edit,canonical,0,25,0.0
exp12_test_edit_03,test_edit,canonical,0,26,0.0
exp12_test_edit_03,test_edit,canonical,0,27,0.0
exp12_test_edit_03,test_edit,paraphrase,0,0,0.003999477252364159
exp12_test_edit_03,test_edit,paraphrase,0,1,0.01956395828165114
exp12_test_edit_03,test_edit,paraphrase,0,2,0.000168365309946239
exp12_test_edit_03,test_edit,paraphrase,0,3,0.02735391422174871
exp12_test_edit_03,test_edit,paraphrase,0,4,-0.007800746709108353
exp12_test_edit_03,test_edit,paraphrase,0,5,-0.003745125432033092
exp12_test_edit_03,test_edit,paraphrase,0,6,0.00014236022252589464
exp12_test_edit_03,test_edit,paraphrase,0,7,0.0
exp12_test_edit_03,test_edit,paraphrase,0,8,0.0
exp12_test_edit_03,test_edit,paraphrase,0,9,0.0
exp12_test_edit_03,test_edit,paraphrase,0,10,0.0
exp12_test_edit_03,test_edit,paraphrase,0,11,0.0
exp12_test_edit_03,test_edit,paraphrase,0,12,0.0
exp12_test_edit_03,test_edit,paraphrase,0,13,0.0
exp12_test_edit_03,test_edit,paraphrase,0,14,0.0
exp12_test_edit_03,test_edit,paraphrase,0,15,0.0
exp12_test_edit_03,test_edit,paraphrase,0,16,0.0
exp12_test_edit_03,test_edit,paraphrase,0,17,0.0
exp12_test_edit_03,test_edit,paraphrase,0,18,0.0
exp12_test_edit_03,test_edit,paraphrase,0,19,0.0
exp12_test_edit_03,test_edit,paraphrase,0,20,0.0
exp12_test_edit_03,test_edit,paraphrase,0,21,0.0
exp12_test_edit_03,test_edit,paraphrase,0,22,0.0
exp12_test_edit_03,test_edit,paraphrase,0,23,0.0
exp12_test_edit_03,test_edit,paraphrase,0,24,0.0
exp12_test_edit_03,test_edit,paraphrase,0,25,0.0
exp12_test_edit_03,test_edit,paraphrase,0,26,0.0
exp12_test_edit_03,test_edit,paraphrase,0,27,0.0
exp12_test_edit_03,test_edit,canonical,1,0,0.004149944521486759
exp12_test_edit_03,test_edit,canonical,1,1,0.008352696429938078
exp12_test_edit_03,test_edit,canonical,1,2,0.004428176209330559
exp12_test_edit_03,test_edit,canonical,1,3,0.004378527402877808
exp12_test_edit_03,test_edit,canonical,1,4,3.487803041934967e-07
exp12_test_edit_03,test_edit,canonical,1,5,0.004151877481490374
exp12_test_edit_03,test_edit,canonical,1,6,0.008595583029091358
exp12_test_edit_03,test_edit,canonical,1,7,-0.0
exp12_test_edit_03,test_edit,canonical,1,8,-0.0
exp12_test_edit_03,test_edit,canonical,1,9,-0.0
exp12_test_edit_03,test_edit,canonical,1,10,-0.0
exp12_test_edit_03,test_edit,canonical,1,11,-0.0
exp12_test_edit_03,test_edit,canonical,1,12,-0.0
exp12_test_edit_03,test_edit,canonical,1,13,-0.0
exp12_test_edit_03,test_edit,canonical,1,14,-0.0
exp12_test_edit_03,test_edit,canonical,1,15,-0.0
exp12_test_edit_03,test_edit,canonical,1,16,-0.0
exp12_test_edit_03,test_edit,canonical,1,17,-0.0
exp12_test_edit_03,test_edit,canonical,1,18,-0.0
exp12_test_edit_03,test_edit,canonical,1,19,-0.0
exp12_test_edit_03,test_edit,canonical,1,20,-0.0
exp12_test_edit_03,test_edit,canonical,1,21,-0.0
exp12_test_edit_03,test_edit,canonical,1,22,-0.0
exp12_test_edit_03,test_edit,canonical,1,23,-0.0
exp12_test_edit_03,test_edit,canonical,1,24,-0.0
exp12_test_edit_03,test_edit,canonical,1,25,-0.0
exp12_test_edit_03,test_edit,canonical,1,26,-0.0
exp12_test_edit_03,test_edit,canonical,1,27,-0.0
exp12_test_edit_03,test_edit,paraphrase,1,0,0.009435504674911499
exp12_test_edit_03,test_edit,paraphrase,1,1,0.0078004878014326096
exp12_test_edit_03,test_edit,paraphrase,1,2,0.009137958288192749
exp12_test_edit_03,test_edit,paraphrase,1,3,0.02505423128604889
exp12_test_edit_03,test_edit,paraphrase,1,4,-0.004343736916780472
exp12_test_edit_03,test_edit,paraphrase,1,5,0.026113273575901985
exp12_test_edit_03,test_edit,paraphrase,1,6,-0.008487870916724205
exp12_test_edit_03,test_edit,paraphrase,1,7,-0.0
exp12_test_edit_03,test_edit,paraphrase,1,8,-0.0
exp12_test_edit_03,test_edit,paraphrase,1,9,-0.0
