task_idx,task_id,recipient_condition,recipient_wording,donor_condition,donor_label,offset,endpoint,value
0,task_000,canonical_impl,canonical,canonical_test,0,-6,single_token_sufficiency,-0.0005446672439575195
0,task_000,canonical_impl,canonical,canonical_test,0,-6,single_token_necessity_loss,0.003390192985534668
0,task_000,canonical_impl,canonical,canonical_test,0,-6,leave_one_out_loss,-0.002948582172393799
0,task_000,canonical_impl,canonical,canonical_test,0,-5,single_token_sufficiency,0.051916539669036865
0,task_000,canonical_impl,canonical,canonical_test,0,-5,single_token_necessity_loss,0.04796332120895386
0,task_000,canonical_impl,canonical,canonical_test,0,-5,leave_one_out_loss,0.048259854316711426
0,task_000,canonical_impl,canonical,canonical_test,0,-4,single_token_sufficiency,0.0012170076370239258
0,task_000,canonical_impl,canonical,canonical_test,0,-4,single_token_necessity_loss,-0.007701516151428223
0,task_000,canonical_impl,canonical,canonical_test,0,-4,leave_one_out_loss,-0.006122589111328125
0,task_000,canonical_impl,canonical,canonical_test,0,-3,single_token_sufficiency,-0.0003548860549926758
0,task_000,canonical_impl,canonical,canonical_test,0,-3,single_token_necessity_loss,0.0005546808242797852
0,task_000,canonical_impl,canonical,canonical_test,0,-3,leave_one_out_loss,-0.001393437385559082
0,task_000,canonical_impl,canonical,canonical_test,0,-2,single_token_sufficiency,-0.0016623139381408691
0,task_000,canonical_impl,canonical,canonical_test,0,-2,single_token_necessity_loss,-0.007606387138366699
0,task_000,canonical_impl,canonical,canonical_test,0,-2,leave_one_out_loss,-0.004191339015960693
0,task_000,canonical_impl,canonical,canonical_test,0,-1,single_token_sufficiency,0.009579360485076904
0,task_000,canonical_impl,canonical,canonical_test,0,-1,single_token_necessity_loss,0.011845827102661133
0,task_000,canonical_impl,canonical,canonical_test,0,-1,leave_one_out_loss,0.006384849548339844
0,task_000,canonical_impl,canonical,canonical_test,0,0,full_KV0_B5_sufficiency,0.07462555170059204
0,task_000,canonical_impl,canonical,canonical_test,0,0,full_KV0_B5_necessity_loss,0.07428491115570068
0,task_000,canonical_impl,canonical,canonical_test,0,0,H20_residual_reference,0.07899457216262817
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-16,single_token_sufficiency,-0.008908510208129883
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-16,single_token_necessity_loss,0.0004564523696899414
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-16,leave_one_out_loss,0.006936073303222656
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-15,single_token_sufficiency,-0.00891256332397461
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-15,single_token_necessity_loss,-0.0015014410018920898
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-15,leave_one_out_loss,-0.0017135143280029297
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-14,single_token_sufficiency,-0.0012593269348144531
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-14,single_token_necessity_loss,0.0029135942459106445
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-14,leave_one_out_loss,0.00017333030700683594
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-13,single_token_sufficiency,0.012089848518371582
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-13,single_token_necessity_loss,0.016083478927612305
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-13,leave_one_out_loss,0.021480441093444824
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-12,single_token_sufficiency,-0.008719444274902344
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-12,single_token_necessity_loss,0.003452777862548828
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-12,leave_one_out_loss,-0.0011061429977416992
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-11,single_token_sufficiency,-0.007838010787963867
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-11,single_token_necessity_loss,0.0034176111221313477
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-11,leave_one_out_loss,-0.0005921125411987305
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-10,single_token_sufficiency,-0.00863337516784668
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-10,single_token_necessity_loss,0.0033936500549316406
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-10,leave_one_out_loss,-0.0009546279907226562
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-9,single_token_sufficiency,-0.006728410720825195
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-9,single_token_necessity_loss,0.0011589527130126953
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-9,leave_one_out_loss,-0.0016955137252807617
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-8,single_token_sufficiency,-0.008703470230102539
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-8,single_token_necessity_loss,3.0517578125e-05
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-8,leave_one_out_loss,0.0014955997467041016
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-7,single_token_sufficiency,-0.008700370788574219
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-7,single_token_necessity_loss,0.0004394054412841797
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-7,leave_one_out_loss,-0.000521540641784668
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-6,single_token_sufficiency,-0.006562948226928711
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-6,single_token_necessity_loss,0.002652764320373535
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-6,leave_one_out_loss,-0.0004134178161621094
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-5,single_token_sufficiency,0.05323338508605957
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-5,single_token_necessity_loss,0.04603171348571777
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-5,leave_one_out_loss,0.046576738357543945
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-4,single_token_sufficiency,-0.009020090103149414
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-4,single_token_necessity_loss,0.00310516357421875
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-4,leave_one_out_loss,-0.0031131505966186523
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-3,single_token_sufficiency,0.006446957588195801
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-3,single_token_necessity_loss,0.013772249221801758
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-3,leave_one_out_loss,0.006049752235412598
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-2,single_token_sufficiency,1.9311904907226562e-05
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-2,single_token_necessity_loss,0.0017722845077514648
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-2,leave_one_out_loss,0.0063817501068115234
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-1,single_token_sufficiency,0.011626482009887695
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-1,single_token_necessity_loss,0.014107346534729004
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,-1,leave_one_out_loss,0.005120038986206055
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,0,full_KV0_B5_sufficiency,0.08665716648101807
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,0,full_KV0_B5_necessity_loss,0.0792701244354248
0,task_000,paraphrase_test,paraphrase,paraphrase_impl,1,0,H20_residual_reference,0.10739898681640625
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-16,single_token_sufficiency,0.001950979232788086
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-16,single_token_necessity_loss,-0.0007598400115966797
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-16,leave_one_out_loss,0.0027091503143310547
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-15,single_token_sufficiency,-0.00046938657760620117
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-15,single_token_necessity_loss,-5.245208740234375e-06
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-15,leave_one_out_loss,-3.743171691894531e-05
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-14,single_token_sufficiency,-0.002392292022705078
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-14,single_token_necessity_loss,0.0007914304733276367
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-14,leave_one_out_loss,0.0002046823501586914
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-13,single_token_sufficiency,0.018822968006134033
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-13,single_token_necessity_loss,0.01807224750518799
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-13,leave_one_out_loss,0.023292183876037598
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-12,single_token_sufficiency,0.008798539638519287
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-12,single_token_necessity_loss,4.410743713378906e-06
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-12,leave_one_out_loss,-0.0012025833129882812
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-11,single_token_sufficiency,0.00021779537200927734
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-11,single_token_necessity_loss,1.1682510375976562e-05
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-11,leave_one_out_loss,-1.4781951904296875e-05
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-10,single_token_sufficiency,-0.0004647970199584961
0,task_000,paraphrase_impl,paraphrase,paraphrase_test,0,-10,single_token_necessity_loss,-0.0007634162902832031
