direction_type,control_id,task_idx,task_id,symmetric_effect
random,4,36,task_036,-0.0003027915954589844
random,4,37,task_037,-0.0007138103246688843
random,4,38,task_038,0.0005851984024047852
random,4,39,task_039,-0.0013034641742706299
random,4,40,task_040,-0.0016055256128311157
random,4,41,task_041,0.0005526989698410034
random,4,42,task_042,-0.0004752352833747864
random,4,43,task_043,-0.0001275390386581421
random,4,44,task_044,-0.0006448328495025635
random,4,45,task_045,-0.0034303590655326843
random,4,46,task_046,0.00217379629611969
random,4,47,task_047,-0.0016194060444831848
real,-1,0,task_000,0.005454324185848236
real,-1,1,task_001,-0.001741662621498108
real,-1,2,task_002,0.002083010971546173
real,-1,3,task_003,0.0038818567991256714
real,-1,4,task_004,-0.004006415605545044
real,-1,5,task_005,0.0020993202924728394
real,-1,6,task_006,0.004579827189445496
real,-1,7,task_007,-0.0009324550628662109
real,-1,8,task_008,0.0011402219533920288
real,-1,9,task_009,-0.0010552480816841125
real,-1,10,task_010,-0.0012530386447906494
real,-1,11,task_011,0.0016721636056900024
real,-1,12,task_012,0.0005433708429336548
real,-1,13,task_013,-0.0008084774017333984
real,-1,14,task_014,0.003371305763721466
real,-1,15,task_015,0.002234041690826416
real,-1,16,task_016,-0.003096066415309906
real,-1,17,task_017,-0.0016923323273658752
real,-1,18,task_018,0.004541188478469849
real,-1,19,task_019,-6.976723670959473e-05
real,-1,20,task_020,-0.0020105689764022827
real,-1,21,task_021,-0.0005901753902435303
real,-1,22,task_022,-0.0018581002950668335
real,-1,23,task_023,0.003402814269065857
real,-1,24,task_024,0.004075288772583008
real,-1,25,task_025,0.00011430680751800537
real,-1,26,task_026,0.0006207451224327087
real,-1,27,task_027,0.002623617649078369
real,-1,28,task_028,-0.002429552376270294
real,-1,29,task_029,9.190291166305542e-05
real,-1,30,task_030,0.003055363893508911
real,-1,31,task_031,0.0023075714707374573
real,-1,32,task_032,0.003266669809818268
real,-1,33,task_033,0.0026927292346954346
real,-1,34,task_034,-0.0009135901927947998
real,-1,35,task_035,0.00361054390668869
real,-1,36,task_036,0.002067774534225464
real,-1,37,task_037,-0.0035832077264785767
real,-1,38,task_038,0.0034947842359542847
real,-1,39,task_039,0.0009017586708068848
real,-1,40,task_040,-0.0012340173125267029
real,-1,41,task_041,0.002203032374382019
real,-1,42,task_042,0.002553969621658325
real,-1,43,task_043,-0.0031783580780029297
real,-1,44,task_044,0.000278472900390625
real,-1,45,task_045,0.006886936724185944
real,-1,46,task_046,-0.003220878541469574
real,-1,47,task_047,-0.0009656548500061035
same_state,-1,0,task_000,0.0006500408053398132
same_state,-1,1,task_001,0.0031469017267227173
same_state,-1,2,task_002,0.0021233409643173218
same_state,-1,3,task_003,0.0011766403913497925
same_state,-1,4,task_004,0.002000652253627777
same_state,-1,5,task_005,0.003429234027862549
same_state,-1,6,task_006,0.0026724711060523987
same_state,-1,7,task_007,9.305030107498169e-05
same_state,-1,8,task_008,0.0012484490871429443
same_state,-1,9,task_009,0.001837112009525299
same_state,-1,10,task_010,0.0009016096591949463
same_state,-1,11,task_011,-0.0005222707986831665
same_state,-1,12,task_012,3.6522746086120605e-05
same_state,-1,13,task_013,0.0026880577206611633
same_state,-1,14,task_014,0.0004910081624984741
same_state,-1,15,task_015,0.001557677984237671
same_state,-1,16,task_016,0.0030800700187683105
same_state,-1,17,task_017,0.0005206912755966187
same_state,-1,18,task_018,0.0006435662508010864
same_state,-1,19,task_019,1.4640390872955322e-05
same_state,-1,20,task_020,0.00025409460067749023
same_state,-1,21,task_021,0.0028987154364585876
same_state,-1,22,task_022,0.002067260444164276
same_state,-1,23,task_023,-0.001140311360359192
same_state,-1,24,task_024,-0.001080438494682312
same_state,-1,25,task_025,0.0032164007425308228
same_state,-1,26,task_026,0.0014591068029403687
same_state,-1,27,task_027,0.0016713589429855347
same_state,-1,28,task_028,0.003105834126472473
same_state,-1,29,task_029,0.0011900216341018677
same_state,-1,30,task_030,0.0011307001113891602
same_state,-1,31,task_031,0.001113802194595337
same_state,-1,32,task_032,0.00063285231590271
same_state,-1,33,task_033,-0.00021880865097045898
same_state,-1,34,task_034,0.0015153661370277405
same_state,-1,35,task_035,0.0007792264223098755
same_state,-1,36,task_036,-0.000694863498210907
same_state,-1,37,task_037,9.424984455108643e-05
same_state,-1,38,task_038,0.0012061148881912231
same_state,-1,39,task_039,0.00024138391017913818
same_state,-1,40,task_040,0.0017105191946029663
same_state,-1,41,task_041,-0.0004717633128166199
same_state,-1,42,task_042,0.0033328309655189514
same_state,-1,43,task_043,5.868077278137207e-05
same_state,-1,44,task_044,0.001220598816871643
same_state,-1,45,task_045,0.003135897219181061
same_state,-1,46,task_046,0.00188339501619339
same_state,-1,47,task_047,-0.0026351511478424072
