fold,task_idx,task_id,condition,wording,label,direction_type,control_id,alpha,test_mean_logprob,impl_mean_logprob,margin_impl_minus_test,delta_margin_from_baseline
0,3,task_003,paraphrase_impl,paraphrase,1,real,-1,-1.0,-1.5193204879760742,-0.9249619245529175,0.5943585634231567,-0.0008812546730041504
0,7,task_007,canonical_test,canonical,0,real,-1,-1.0,-0.9555511474609375,-0.8462426662445068,0.10930848121643066,0.0025264620780944824
0,7,task_007,canonical_impl,canonical,1,real,-1,-1.0,-0.9469650983810425,-0.6613327264785767,0.2856323719024658,-0.008797168731689453
0,7,task_007,paraphrase_test,paraphrase,0,real,-1,-1.0,-0.9676190614700317,-0.8450411558151245,0.12257790565490723,-0.004361569881439209
0,7,task_007,paraphrase_impl,paraphrase,1,real,-1,-1.0,-0.9515690207481384,-0.700859785079956,0.2507092356681824,-0.005404055118560791
0,11,task_011,canonical_test,canonical,0,real,-1,-1.0,-1.2842742204666138,-1.0562500953674316,0.22802412509918213,-0.0005519390106201172
0,11,task_011,canonical_impl,canonical,1,real,-1,-1.0,-1.3080132007598877,-0.9459710717201233,0.3620421290397644,-0.00819408893585205
0,11,task_011,paraphrase_test,paraphrase,0,real,-1,-1.0,-1.4408748149871826,-1.094873070716858,0.3460017442703247,0.0031571388244628906
0,11,task_011,paraphrase_impl,paraphrase,1,real,-1,-1.0,-1.4217761754989624,-0.9497309327125549,0.47204524278640747,-0.002347588539123535
0,15,task_015,canonical_test,canonical,0,real,-1,-1.0,-1.3380321264266968,-1.05868661403656,0.2793455123901367,-0.0033369064331054688
0,15,task_015,canonical_impl,canonical,1,real,-1,-1.0,-1.5062472820281982,-0.9470731019973755,0.5591741800308228,-0.021543562412261963
0,15,task_015,paraphrase_test,paraphrase,0,real,-1,-1.0,-1.4039385318756104,-0.9837138056755066,0.42022472620010376,0.002556920051574707
0,15,task_015,paraphrase_impl,paraphrase,1,real,-1,-1.0,-1.5732810497283936,-0.9414124488830566,0.6318686008453369,0.004053950309753418
0,19,task_019,canonical_test,canonical,0,real,-1,-1.0,-0.9826781153678894,-0.8712117671966553,0.11146634817123413,-0.0022179484367370605
0,19,task_019,canonical_impl,canonical,1,real,-1,-1.0,-0.9312542676925659,-0.6500467658042908,0.28120750188827515,-0.015451312065124512
0,19,task_019,paraphrase_test,paraphrase,0,real,-1,-1.0,-0.9837956428527832,-0.8488954305648804,0.13490021228790283,-0.003944098949432373
0,19,task_019,paraphrase_impl,paraphrase,1,real,-1,-1.0,-0.9855082035064697,-0.7099142074584961,0.27559399604797363,-0.002773106098175049
0,23,task_023,canonical_test,canonical,0,real,-1,-1.0,-1.2826117277145386,-1.108979344367981,0.17363238334655762,0.003984332084655762
0,23,task_023,canonical_impl,canonical,1,real,-1,-1.0,-1.2226779460906982,-0.9331614375114441,0.28951650857925415,-0.011587917804718018
0,23,task_023,paraphrase_test,paraphrase,0,real,-1,-1.0,-1.347245693206787,-1.046864628791809,0.300381064414978,0.004595279693603516
0,23,task_023,paraphrase_impl,paraphrase,1,real,-1,-1.0,-1.2673676013946533,-0.873367190361023,0.39400041103363037,-0.007179677486419678
0,27,task_027,canonical_test,canonical,0,real,-1,-1.0,-1.2995293140411377,-1.037365436553955,0.2621638774871826,0.004285931587219238
0,27,task_027,canonical_impl,canonical,1,real,-1,-1.0,-1.411694884300232,-0.8937912583351135,0.5179036259651184,-0.010816991329193115
0,27,task_027,paraphrase_test,paraphrase,0,real,-1,-1.0,-1.3622963428497314,-0.9760733246803284,0.3862230181694031,-0.0044342875480651855
0,27,task_027,paraphrase_impl,paraphrase,1,real,-1,-1.0,-1.5366268157958984,-0.9077640175819397,0.6288627982139587,-0.014950394630432129
0,31,task_031,canonical_test,canonical,0,real,-1,-1.0,-0.932686448097229,-0.8530452847480774,0.07964116334915161,0.0006960630416870117
0,31,task_031,canonical_impl,canonical,1,real,-1,-1.0,-0.9182716608047485,-0.6785928606987,0.23967880010604858,-0.002751767635345459
0,31,task_031,paraphrase_test,paraphrase,0,real,-1,-1.0,-0.9876059889793396,-0.8673030734062195,0.12030291557312012,-0.0026109814643859863
0,31,task_031,paraphrase_impl,paraphrase,1,real,-1,-1.0,-0.9405549764633179,-0.7226110100746155,0.2179439663887024,-0.0022590160369873047
0,35,task_035,canonical_test,canonical,0,real,-1,-1.0,-1.2821589708328247,-1.0847069025039673,0.19745206832885742,-0.0045588016510009766
0,35,task_035,canonical_impl,canonical,1,real,-1,-1.0,-1.2530312538146973,-0.9448165893554688,0.3082146644592285,-0.006082296371459961
0,35,task_035,paraphrase_test,paraphrase,0,real,-1,-1.0,-1.3540819883346558,-1.0511528253555298,0.302929162979126,-0.005755066871643066
0,35,task_035,paraphrase_impl,paraphrase,1,real,-1,-1.0,-1.3185926675796509,-0.9079253673553467,0.4106673002243042,-0.008473396301269531
0,39,task_039,canonical_test,canonical,0,real,-1,-1.0,-1.3345463275909424,-1.0785022974014282,0.25604403018951416,-0.0020662546157836914
0,39,task_039,canonical_impl,canonical,1,real,-1,-1.0,-1.4363311529159546,-0.9340304136276245,0.5023007392883301,-0.005581915378570557
